ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12066037,JD250527,06/02/2020 12:33:00 AM,039XX W WASHINGTON BLVD,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,DEPARTMENT STORE,true,false,1122,011,28,26,24,1150041,1900125,2020,06/09/2020 03:49:44 PM,41.881852284,-87.724513856,"(41.881852284, -87.724513856)"
12067072,JD251741,06/02/2020 10:50:00 PM,060XX S ST LOUIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0823,008,23,66,08B,1154106,1864196,2020,06/09/2020 03:49:44 PM,41.783178479,-87.710543652,"(41.783178479, -87.710543652)"
12067018,JD251525,06/02/2020 06:04:00 PM,032XX W 25TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,1024,010,12,30,15,1155188,1887212,2020,06/09/2020 03:49:44 PM,41.846315859,-87.705960574,"(41.846315859, -87.705960574)"
12066837,JD251210,06/02/2020 01:43:00 PM,025XX S CALIFORNIA AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,true,false,1033,010,12,30,15,1158104,1887202,2020,06/09/2020 03:49:44 PM,41.846229464,-87.695259244,"(41.846229464, -87.695259244)"
12066415,JD250957,06/02/2020 07:08:00 AM,035XX W MONROE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),false,true,1123,011,28,27,14,1152785,1899305,2020,06/09/2020 03:49:44 PM,41.879548259,-87.714459585,"(41.879548259, -87.714459585)"
12069740,JD250938,06/02/2020 10:00:00 AM,084XX S MICHIGAN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,false,false,0632,006,6,44,11,,,2020,06/09/2020 03:49:44 PM,,,
12067957,JD252693,06/02/2020 09:00:00 AM,032XX W 61ST PL,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,0823,008,23,66,11,1155842,1863666,2020,06/09/2020 03:49:44 PM,41.781689401,-87.704193064,"(41.781689401, -87.704193064)"
12066641,JD250994,06/02/2020 11:00:00 AM,056XX S ARTESIAN AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,ALLEY,false,false,0824,008,15,63,04A,1160991,1867206,2020,06/09/2020 03:49:44 PM,41.791298707,-87.685217624,"(41.791298707, -87.685217624)"
12067279,JD251726,06/02/2020 10:13:00 PM,062XX S EBERHART AVE,0460,BATTERY,SIMPLE,RESIDENCE - YARD (FRONT / BACK),false,false,0313,003,20,42,08B,1180650,1863845,2020,06/09/2020 03:49:44 PM,41.781646505,-87.613235784,"(41.781646505, -87.613235784)"
12067138,JD251588,06/02/2020 07:30:00 PM,055XX S STATE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,false,false,0225,002,3,40,07,1177219,1868295,2020,06/09/2020 03:49:44 PM,41.793935909,-87.625680278,"(41.793935909, -87.625680278)"
12067657,JD252172,06/02/2020 11:30:00 PM,012XX S FAIRFIELD AVE,0810,THEFT,OVER $500,RESIDENCE,false,false,1023,010,28,29,06,1158231,1894108,2020,06/09/2020 03:49:44 PM,41.865177674,-87.694604625,"(41.865177674, -87.694604625)"
